Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
Foam PU FOAM G PREMIUM 72X36X50MM SOFTY  Color:white  Density: 32,,Foam,Raw Material,Product Utilities
Foam PU FOAM G PREMIUM 72X48X25MM  Color:WHITE SOFTY  Density: 32,,Foam,Raw Material,Product Utilities
Foam PU FOAM G PREMIUM 72x48x50MM white softy  Color:white  Density: 32,,Foam,Raw Material,Product Utilities
Foam PU PREMIUM 72X48X6MM  Color:GREEN  Density: 32 D,,Foam,Raw Material,Product Utilities
Foam Rebonded -72x36x20mm  Color:Mix  Density: 95,,Foam,Raw Material,Product Utilities
"Foam Soft 81""""x36""""x50mm  Color:White  Density: 32",,Foam,Raw Material,Product Utilities
Foam SS - 72X36X25MM  Color:BLACK  Density: 32 - SOFT,,Foam,Raw Material,Product Utilities
Foam SS - 72X36X50MM  Color:BLACK  Density: 32 - SOFT,,Foam,Raw Material,Product Utilities
Foam SSW 40X38X50MM  Color:WHITE  Density: 32 D,,Foam,Raw Material,Product Utilities
Foam white softy78x40x25mm  Color:white  Density: 32,,Foam,Raw Material,Product Utilities
Foam PLATINUM 60X36X10MM  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
Foam platinum 72X48X10mm  Color:green  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 72x48x25mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum72X36X25mm  Color:green  Density:,,Foam,Raw Material,Product Utilities
Foam Platinum72X36X6mm  Color:Green  Density: 32,,Foam,Raw Material,Product Utilities
Foam EVA SHEET 4MM BLACK  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam 52x63x100mm (DLX Splash 32   Color-Yellow  Non FR)  Color:  Density: 32,,Foam,Raw Material,Product Utilities
Foam 72x36x6mm (DLX Splash 32   Color-Yellow  Non FR)  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam 72x48x10mm (DLX Splash 32   Color-Yellow  Non FR)  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam 72x48x25mm (DLX Splash 32   Color-Yellow  Non FR)  Color:  Density: 32,,Foam,Raw Material,Product Utilities
Foam 72X48X25MM SUPER SOFT  Color:WHITE  Density: 32,,Foam,Raw Material,Product Utilities
Foam 72x48x50mm (DLX Splash 32   Color-Yellow  Non FR)  Color:  Density: 32,,Foam,Raw Material,Product Utilities
Foam 72X48X50MM SUPER SOFT  Color:WHITE  Density: 32,,Foam,Raw Material,Product Utilities
Foam FF 35 CMS 72X35X25MM  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam FF 35CMS 72X35X100MM  Color:  Density:,,Foam,Raw Material,Product Utilities
