Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
Corrugated Box HENA CHAIR 33X31.5X35.5 5PLY,UNMPL/SKU/25-26/1717,Corrugated Box,Packaging,Product Utilities
"Corrugated Box hsc sofa 83""""X40""""X37""""",UNMPL/SKU/25-26/646,Corrugated Box,Packaging,Product Utilities
"Corrugated Box LAILA SIDE TABLES 30.25""""X24.5""""X27.25"""" - 5PLY",UNM/SKU/24-25/1092,Corrugated Box,Packaging,Product Utilities
"Corrugated Box longe chair 36.5""""x31.5""""x37""""",UNMPL/SKU/25-26/1286,Corrugated Box,Packaging,Product Utilities
"Corrugated Box NEUE COUNTER STOOL LOWER DUMMY 16""""X19""""X8.75"""" RSC   3 PLY",,Corrugated Box,Packaging,Product Utilities
Corrugated Box NEW CHESTERFIELD SOFA 89X34X33,UNMPL/SKU/25-26/1776,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Nyra 2 drawer 25""""X21""""X23.5"""" - 5 PLY RSC",UNMPL/SKU/25-26/793,Corrugated Box,Packaging,Product Utilities
"Corrugated Box NYRA 6 DRAWER 63.5""""X21.5""""X34.5"""" - 5 ply",UNMPL/SKU/25-26/524,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA 6 DRAWER 63.5X21X28,,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA 6 DRAWER SAMPLE 63.75X21.75X35 5 PLY,UNMPL/SKU/25-26/760,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA CD0623-01 63X21X25,UNMPL/SKU/25-26/738,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA MIRROR 51X5X31,,Corrugated Box,Packaging,Product Utilities
"Corrugated Box NYRA MIRROR 53.5""""X6.5""""X35"""" - 5 PLY",UNMPL/SKU/25-26/523,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA P2 82X8X21,UNMPL/SKU/25-26/726,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA P2 82X8X21 IN 5PLY,UNMPL/SKU/25-26/927,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA ST SAMPLE 27.75X21.5X24 5PLY,UNMPL/SKU/25-26/759,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA ST0623-01 22.5X16X6,UNMPL/SKU/25-26/735,Corrugated Box,Packaging,Product Utilities
"Corrugated Box pillow bench 58""""x9""""x35",UNMPL/SKU/25-26/1278,Corrugated Box,Packaging,Product Utilities
Corrugated Box RN0325-13 28.25X24.75X41.25 PLY5,UNMPL/SKU/25-26/995,Corrugated Box,Packaging,Product Utilities
"Corrugated Box RORI CHAIR 39.25""""X33.5""""X31.75""""",UNM/SKU/24-25/1333,Corrugated Box,Packaging,Product Utilities
Corrugated Box SAHO BED P1 82X8X61 5PLY,UNMPL/SKU/25-26/1003,Corrugated Box,Packaging,Product Utilities
Corrugated Box SAHO BED P2 82X8X40,UNMPL/SKU/25-26/727,Corrugated Box,Packaging,Product Utilities
Corrugated Box SAHO BED P3 85X21X20 5PLY,UNMPL/SKU/25-26/1004,Corrugated Box,Packaging,Product Utilities
Corrugated Box SARAI SOFA 43X33.5X31.5,UNMPL/SKU/25-26/1777,Corrugated Box,Packaging,Product Utilities
Corrugated Box SOFA 82X38X28,UNMPL/SKU/25-26/1775,Corrugated Box,Packaging,Product Utilities
Corrugated Box ST0824-02 30.25X24.5X27.25,UNMPL/SKU/25-26/733,Corrugated Box,Packaging,Product Utilities
Corrugated Box THEA CHAIR 35X35X44 FOR WOFEX FAIR 2025,UNMPL/SKU/25-26/1779,Corrugated Box,Packaging,Product Utilities
"Corrugated Box TURI CHAIR -1-5 PLY - 32.75""""X30.5""""X34.5"""" RSC",UNMPL/SKU/25-26/285,Corrugated Box,Packaging,Product Utilities
Corrugated Box VANI BED P1 80X6X63,UNMPL/SKU/25-26/1780,Corrugated Box,Packaging,Product Utilities
"Corrugated Box vanity stool - 23""""21""""x28""""",UNMPL/SKU/25-26/1283,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 125034299 Boden Dining Chair- Smokey Ta 24.5""""x22""""x32.5"""" RSC 5 PLY",UNMPL/SKU/25-26/1252,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 125038484 JOSHUA ACCENT CHAIR 33.50""""X33.50""""X34"""" 5 PLY RSC",UNMPL/SKU/25-26/2080,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 248364 Clapper dining chair 5PLY OUTER - 23"""" x 21"""" x 39.5"""" RSC",UNM/SKU/24-25/1655,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 248365 CLAPPER BAR chair 5 PLY 23""""X20""""X50"""" OUTER RSC",UNM/SKU/24-25/1576,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 248366 CLAPPER COUNTER RSC 5 PLY OUTER 23""""X20""""X46""""",UNM/SKU/24-25/1577,Corrugated Box,Packaging,Product Utilities
Corrugated Box 35.5X33.5X38.5 5PLY,UNMPL/SKU/25-26/1718,Corrugated Box,Packaging,Product Utilities
Corrugated Box 39X29.5X43X5 5PLY,UNMPL/SKU/26-27/15,Corrugated Box,Packaging,Product Utilities
Corrugated Box 84X7.5X64.5 5 PLY BALLARD BED,UNMPL/SKU/26-27/14,Corrugated Box,Packaging,Product Utilities
"Corrugated Box AARA 2 SEATER 57""""x34""""x28""""",UNM/SKU/24-25/1123,Corrugated Box,Packaging,Product Utilities
Corrugated Box AARA SOFA 3 SEATER 82X34X28-5PLY,UNM/SKU/24-25/258,Corrugated Box,Packaging,Product Utilities
Corrugated Box Aara sofa singal seater 35.5x34x28 - 5 ply,UNM/SKU/24-25/257,Corrugated Box,Packaging,Product Utilities
"Corrugated Box alden 2 seater 79""""x41""""x30"""" 7 ply RSC",UNM/SKU/24-25/1899,Corrugated Box,Packaging,Product Utilities
"Corrugated Box alden sofa 3 seater 93""""x41""""x30"""" 7 ply rsc",UNM/SKU/24-25/1898,Corrugated Box,Packaging,Product Utilities
Corrugated Box CHESTER FIELD 4 SEATER 112X38X34 5PLY,UNMPL/SKU/25-26/2174,Corrugated Box,Packaging,Product Utilities
"Corrugated Box chesterfield 2 seater 68.5""""X38.5""""X36""""",UNM/SKU/24-25/105,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Chesterfield 3 seater 88""""x38.5""""x36""""",UNM/SKU/24-25/104,Corrugated Box,Packaging,Product Utilities
Corrugated Box CHESTERFIELD SOFA 1 SEATER 48X38.5X36 RSC,UNM/SKU/24-25/106,Corrugated Box,Packaging,Product Utilities
"Corrugated Box DARCY CHAIR 5PLY- 32""""X31.5""""X35.75"""" RSC",UNM/SKU/24-25/728,Corrugated Box,Packaging,Product Utilities
"Corrugated Box DUMMY P3 - 83""""X8.5""""X16.5"""" RSC 3PLY",UNM/SKU/24-25/1715,Corrugated Box,Packaging,Product Utilities
"Corrugated Box FERRIS DINING CHAIR - 24""""X24""""37""""",UNMPL/SKU/25-26/1328,Corrugated Box,Packaging,Product Utilities
"Corrugated Box GG CHAIR 1- 35.5""""X31.3""""X35.5"""" - 5 PLY",UNM/SKU/24-25/1088,Corrugated Box,Packaging,Product Utilities
"Corrugated Box HEATH BENCH 60.5"""" x 15.50"""" x 9.20"""" 3PLY",UNMPL/SKU/25-26/2364,Corrugated Box,Packaging,Product Utilities
"Corrugated Box HEATH BENCH 63.50"""" x 21"""" x 21.50"""" 5 ply",UNMPL/SKU/25-26/2363,Corrugated Box,Packaging,Product Utilities
Corrugated Box HOG 3 SEATER 89X38X27-5PLY,UNM/SKU/24-25/107,Corrugated Box,Packaging,Product Utilities
Corrugated Box Hog Sofa 1 seater 40x38x27,UNM/SKU/24-25/108,Corrugated Box,Packaging,Product Utilities
Corrugated Box LUCAYA OTTOMAN DUMMY 18.5''X18.5''X13'' (3PLY) RSC,UNM/SKU/23-24/549,Corrugated Box,Packaging,Product Utilities
"Corrugated Box LUCID BED BOTTOM PLY BOX - 82""""X3""""X46""""",UNMPL/SKU/25-26/1327,Corrugated Box,Packaging,Product Utilities
"Corrugated Box LUCID BED P2 - 89""""X7""""X19'"""" RSC 5 PLY",UNM/SKU/24-25/1712,Corrugated Box,Packaging,Product Utilities
"Corrugated Box LUCID BED TOP PLY - 81""""X4""""X77"""" -",UNMPL/SKU/25-26/1326,Corrugated Box,Packaging,Product Utilities
"Corrugated Box LUCID P1 - 89""""X7""""X57"""" RSC 5 PLY",UNM/SKU/24-25/1711,Corrugated Box,Packaging,Product Utilities
"Corrugated Box LUCID P3 - 84""""X17""""X19"""" RSC 5 PLY",UNM/SKU/24-25/1713,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MALONE DINING CHAIR - OUTER - 25.50'X22.50""""X36""""",UNMPL/SKU/25-26/2369,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MALONE DINING CHAIR - T D - 20.75""""X19""""X16"""" - PLY",UNMPL/SKU/25-26/2368,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MALONE DINING CHAIR B D - 21.50""""X19.20""""X7"""" - 3PLY 3 PLY",UNMPL/SKU/25-26/2367,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Mid Century king Bed P1 - 81""""X5""""X46"""" 5 - PLY",UNMPL/SKU/25-26/1339,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Mid Century king Bed P2 - 82""""X5""""X21"""" 5 - PLY",UNMPL/SKU/25-26/1340,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Mid Century king Bed P3 - 83""""X10""""X61"""" 5 - PLY",UNMPL/SKU/25-26/1341,Corrugated Box,Packaging,Product Utilities
Corrugated Box NAYOMI CHAIR -1-5 PLY - 33.5X33X34 RSC,UNM/SKU/24-25/727,Corrugated Box,Packaging,Product Utilities
"Corrugated Box RIBE 3 SEATER 93""""X37""""X32.5""""",UNMPL/SKU/25-26/833,Corrugated Box,Packaging,Product Utilities
"Corrugated Box SEIGE 3 SEATER 96""""X40""""30"""" RSC 7 PLY",UNM/SKU/24-25/1900,Corrugated Box,Packaging,Product Utilities
Corrugated Box SEIGE SOFA 3 SEATER 92X37X29 7PLY 275LBS,UNMPL/SKU/25-26/2175,Corrugated Box,Packaging,Product Utilities
Corrugated Box SEIRA SOFA 100X37X31.25 INCH 7 PLY 275,UNMPL/SKU/25-26/2195,Corrugated Box,Packaging,Product Utilities
"Corrugated Box SIERRA 3 SEATER 100""""X36""""X32"""" - 7 PLY",UNMPL/SKU/25-26/830,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Sofa Madeleine 98""""X38""""X33"""" - 7 PLY",UNMPL/SKU/25-26/840,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Sofa ORA Main 95""""X38.5""""X33"""" - 7 PLY",UNMPL/SKU/25-26/837,Corrugated Box,Packaging,Product Utilities
"Corrugated Box SPELLO 3 SEATER 75""""X36""""X27 - 7 PLY",UNMPL/SKU/25-26/835,Corrugated Box,Packaging,Product Utilities
Corrugated Box SPELLO SOFA 3 SEATER 98X38X27 7PLY -275,UNMPL/SKU/25-26/2176,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Stone Henge bed P1 78""""X7""""X68.5""""",UNM/SKU/24-25/1661,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Stone Henge bed P2 78""""X7""""X23.5""""",UNM/SKU/24-25/1662,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Stone Henge bed P3 82""""X5""""X18""""",UNM/SKU/24-25/1663,Corrugated Box,Packaging,Product Utilities
"Corrugated Box TARLO 3 SEATER 93""""X38""""X35"""" - 7 PLY",UNMPL/SKU/25-26/826,Corrugated Box,Packaging,Product Utilities
"Corrugated Box THEA CHAIR 5 PLY - 35""""X35""""X43"""" RSC",UNM/SKU/24-25/733,Corrugated Box,Packaging,Product Utilities
Corrugated Box UO265 AZA VBR AZIZA BLUE GREEN LUCAYA OTTOMAN OUTER 46x46x20.5'' RSC,UNM/SKU/23-24/548,Corrugated Box,Packaging,Product Utilities
"Corrugated Box WALDEN CHAIR BROWN HAIR ON 25""""X20.5""""X12"""" - 5 PLY -",UNMPL/SKU/25-26/2366,Corrugated Box,Packaging,Product Utilities
"Corrugated Box WALDEN CHAIR BROWN HAIR ON- 39""""X40""""X31"""" - 5 PLY",UNMPL/SKU/25-26/2365,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) ARNAS CHAIR MASTER BOX 37X29.5X34 5PLY,UNMPL/SKU/25-26/1019,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) ENZO CHAIR MASTER BOX 37.5X32X33 5PLY,UNMPL/SKU/25-26/1022,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) GG CHAIR MASTER BOX 33X29X34.5 5PLY,UNMPL/SKU/25-26/1014,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) MOUCINA CHAIR MASTER BOX 38X28X33 5 PLY,UNMPL/SKU/25-26/1017,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) STONE HENGE BED P1 78X6X67 5PLY,UNMPL/SKU/25-26/1024,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) STONE HENGE BED P2 MASTER BOX 78X6X22 5PLY,UNMPL/SKU/25-26/1027,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) STONE HENGE BED P3 MASTER 80X12X12 5PLY,UNMPL/SKU/25-26/1029,Corrugated Box,Packaging,Product Utilities
Corrugated Box (S) THEA CHAIR MASTER BOX 35X34.5X43 5PLY,UNMPL/SKU/25-26/1011,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 125034304 Boden Counter Stool- Smokey T 24.5""""X22""""X38.25"""" RSC 5 PLY",UNMPL/SKU/25-26/1255,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 125034308 Boden Barstool - Smokey Taupe 24.5""""X22""""X42.5"""" RSC 5 PLY",UNMPL/SKU/25-26/1258,Corrugated Box,Packaging,Product Utilities
Corrugated Box 26.75X22.75X39.25 5 PLY 275 LBS,UNMPL/SKU/25-26/2087,Corrugated Box,Packaging,Product Utilities
Corrugated Box 27.25X23.25X39.75 5PLY 275LBS,UNMPL/SKU/25-26/2088,Corrugated Box,Packaging,Product Utilities
Corrugated Box 27X22X36.5 5 PLY WOOD AND LEAHTER CHAIR,UNMPL/SKU/25-26/1956,Corrugated Box,Packaging,Product Utilities
Corrugated Box 30.25X24.5X27.25,UNMPL/SKU/25-26/612,Corrugated Box,Packaging,Product Utilities
Corrugated Box 33.25X27.25X32.25 5PLY 275 LBS,UNMPL/SKU/25-26/2089,Corrugated Box,Packaging,Product Utilities
Corrugated Box 33.5x33.5x34 inch 5ply,UNMPL/SKU/25-26/2069,Corrugated Box,Packaging,Product Utilities
Corrugated Box 33.75X27.75X33.25 5PLY 275 LBS,UNMPL/SKU/25-26/2090,Corrugated Box,Packaging,Product Utilities
Corrugated Box 33X23X23,,Corrugated Box,Packaging,Product Utilities
Corrugated Box 37.5x31.5x30.5,UNMPL/SKU/25-26/101,Corrugated Box,Packaging,Product Utilities
Corrugated Box 40.5X35X24.5,,Corrugated Box,Packaging,Product Utilities
Corrugated Box 40.75X37X31.755 PLY,UNMPL/SKU/25-26/991,Corrugated Box,Packaging,Product Utilities
Corrugated Box 50X38X28.5,,Corrugated Box,Packaging,Product Utilities
Corrugated Box 60 X15.5X5 INCH 7 PKT,UNMPL/SKU/25-26/1146,Corrugated Box,Packaging,Product Utilities
Corrugated Box 68X69 34X33X34,UNMPL/SKU/25-26/1938,Corrugated Box,Packaging,Product Utilities
Corrugated Box 73X37.5X31,UNMPL/SKU/25-26/309,Corrugated Box,Packaging,Product Utilities
Corrugated Box 78x10x55,UNM/SKU/24-25/113,Corrugated Box,Packaging,Product Utilities
Corrugated Box 78X8X17 p2,UNM/SKU/24-25/114,Corrugated Box,Packaging,Product Utilities
Corrugated Box 79X37X31,UNMPL/SKU/25-26/310,Corrugated Box,Packaging,Product Utilities
Corrugated Box 81X18X16,UNM/SKU/24-25/115,Corrugated Box,Packaging,Product Utilities
Corrugated Box 91.5x26.5x12 5ply,UNMPL/SKU/25-26/1076,Corrugated Box,Packaging,Product Utilities
Corrugated Box 96X25X31,UNMPL/SKU/25-26/311,Corrugated Box,Packaging,Product Utilities
Corrugated Box 96X36X30,UNMPL/SKU/25-26/312,Corrugated Box,Packaging,Product Utilities
Corrugated Box 96X36X31,UNMPL/SKU/25-26/313,Corrugated Box,Packaging,Product Utilities
Corrugated Box 96X42X28 INCH 7 PLY,UNMPL/SKU/25-26/1811,Corrugated Box,Packaging,Product Utilities
Corrugated Box 97X38X29.5,UNMPL/SKU/25-26/1810,Corrugated Box,Packaging,Product Utilities
"Corrugated Box aghori bench - 5ply 63"""" x 21"""" x 20"""" RSC",UNMPL/SKU/25-26/288,Corrugated Box,Packaging,Product Utilities
Corrugated Box AJ 12 CHAIR 33X32X33.5,UNMPL/SKU/25-26/76,Corrugated Box,Packaging,Product Utilities
Corrugated Box AJ 27 BED P1 47X7.75X35.25,UNMPL/SKU/25-26/77,Corrugated Box,Packaging,Product Utilities
Corrugated Box AJ 27 BED P2 47X7X17,UNMPL/SKU/25-26/78,Corrugated Box,Packaging,Product Utilities
Corrugated Box AJ 27 BED P3 79.25X16X14,UNMPL/SKU/25-26/79,Corrugated Box,Packaging,Product Utilities
Corrugated Box ALDEN 3 SEATER 91X42X25,UNMPL/SKU/25-26/307,Corrugated Box,Packaging,Product Utilities
Corrugated Box ALISON SOFA 80X38X29.5,UNMPL/SKU/25-26/2116,Corrugated Box,Packaging,Product Utilities
Corrugated Box ALOF CHAIR 40.75X37X31.75,,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Aloff 2 seater 59.5""""X38""""X34"""" - 5ply",UNMPL/SKU/25-26/1078,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Aloff 3 seater 82.5""""X38""""X34"""" - 5ply",UNMPL/SKU/25-26/1079,Corrugated Box,Packaging,Product Utilities
Corrugated Box ARNAS CHAIR FOR IFGH 2025 37X29X.31.5,UNMPL/SKU/25-26/74,Corrugated Box,Packaging,Product Utilities
Corrugated Box AT HOME SAMPLE ated Box SAMPLE FOR JOSHUA ACCENT CHAIR 30.5X27.5X8.5 3PLY,UNMPL/SKU/25-26/1867,Corrugated Box,Packaging,Product Utilities
Corrugated Box BAR STOOL MASTER BOX 38X21.5X23 5 PLY,UNMPL/SKU/25-26/1073,Corrugated Box,Packaging,Product Utilities
"Corrugated Box BETSY BAR CHAIR - 22""""X22""""X33""""",UNMPL/SKU/25-26/1333,Corrugated Box,Packaging,Product Utilities
Corrugated Box BOX IN BOX FOR LEATHER AND WOOD CHAIR 29X24X38.5 INCH IN 7 PLY,UNMPL/SKU/25-26/1957,Corrugated Box,Packaging,Product Utilities
Corrugated Box Box SAMPLE FOR JOSHUA ACCENT CHAIR 37.75X31X32 5 PLY,UNMPL/SKU/25-26/1868,Corrugated Box,Packaging,Product Utilities
"Corrugated Box CANAPE 3 SEATER 98""""X38.5""""X28"""" - 7 PLY",UNMPL/SKU/25-26/832,Corrugated Box,Packaging,Product Utilities
"Corrugated Box COUNTER CHAIR BETSY- 22""""X22""""X29.5""""",UNMPL/SKU/25-26/1331,Corrugated Box,Packaging,Product Utilities
Corrugated Box Dali Wing Chair Outer-33X31X40.25,UNM/SKU/23-24/578,Corrugated Box,Packaging,Product Utilities
Corrugated Box DARCY SOFA 70.5X31X34 5PLY,UNMPL/SKU/25-26/1958,Corrugated Box,Packaging,Product Utilities
Corrugated Box DARCY SOFA BOX IN BOX 72X33X35.5 IN 7PLY,UNMPL/SKU/25-26/1959,Corrugated Box,Packaging,Product Utilities
Corrugated Box DESIGN PLUSE SIDE TABLE BOX 23X19X19.52,UNMPL/SKU/25-26/1569,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Enzo Chair - 39.5""""x33""""x34.5"""" RSC 5 ply",,Corrugated Box,Packaging,Product Utilities
Corrugated Box FLORA BED P1 72X14X57 5PLY 275 LBS,UNMPL/SKU/25-26/2113,Corrugated Box,Packaging,Product Utilities
Corrugated Box FLORA BED P2 69X6.5X18.5 5PLY 275,UNMPL/SKU/25-26/2114,Corrugated Box,Packaging,Product Utilities
Corrugated Box FLORA BED P3 84X12X12 5PLY 275 LBS,UNMPL/SKU/25-26/2115,Corrugated Box,Packaging,Product Utilities
Corrugated Box FLORA KNIGHT STAND 21X18X18 5 PLY 275 LBS,UNMPL/SKU/25-26/2120,Corrugated Box,Packaging,Product Utilities
"Corrugated Box GG CHAIR 34""""X31""""X34""""",,Corrugated Box,Packaging,Product Utilities
"Corrugated Box HARRIS OFFICE CHAIR - 30'X28""""X37"""" - 5 PLY",UNMPL/SKU/25-26/1344,Corrugated Box,Packaging,Product Utilities
Corrugated Box jamison chair sample 34x32x36,UNM/SKU/23-24/779,Corrugated Box,Packaging,Product Utilities
"Corrugated Box JOYCE 2 SEATER 75""""X35""""X28"""" - 7 PLY",UNMPL/SKU/25-26/828,Corrugated Box,Packaging,Product Utilities
"Corrugated Box JOYCE 3 SEATER - 90""""x34.5""""x29"""" - 7 ply 275 + LBS",UNMPL/SKU/25-26/825,Corrugated Box,Packaging,Product Utilities
Corrugated Box DANNY CHAIR 37X36X32,UNMPL/SKU/25-26/73,Corrugated Box,Packaging,Product Utilities
Corrugated Box Laurie Dinning Chair (Outer) 28x30.5x37 RSC,UM-000137,Corrugated Box,Packaging,Product Utilities
Corrugated Box LUCAYA OTTOMAN OUTER 46x46x20.5'' RSC,,Corrugated Box,Packaging,Product Utilities
"Corrugated Box lucid side table - 5 PLY - 25"""" x 19.5"""" x 22.5"""" RSC",UNMPL/SKU/25-26/289,Corrugated Box,Packaging,Product Utilities
"Corrugated Box LUCID STAND 22.75""""X20.5""""X21""""",UNM/SKU/24-25/1342,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MALONE COUNTER STOOL - BD- 20.5""""X19""""X5.75 - 3PLY",UNMPL/SKU/25-26/2370,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MALONE COUNTER STOOL - OUTER - 24.50""""X21.50""""X40.50"""" - 5 PLY",UNMPL/SKU/25-26/2372,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MALONE COUNTER STOOL - TD - 19.20""""X18""""X13"""" - 3 PLY",UNMPL/SKU/25-26/2371,Corrugated Box,Packaging,Product Utilities
"Corrugated Box maxwell chair master - 44.5"""" x 28.25"""" x 37.5"""" 5 ply 275 lbs",UNM/SKU/24-25/534,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MOUCINA CHAIR 39.5""""X28.75""""X34.5"""" 5 PLY",UNM/SKU/24-25/1659,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Moucina Chair Dummy- 26""""X24""""X16.5"""" 3 ply",UNMPL/SKU/25-26/930,Corrugated Box,Packaging,Product Utilities
Corrugated Box MOUCINA CHAIR DUMMY 26X24X17.5 3PLY,UNMPL/SKU/25-26/1018,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MT SOFA 2 SEATER - 5PLY - 275 - 72.5""""X37""""X26"""" RSC  5PLY",,Corrugated Box,Packaging,Product Utilities
"Corrugated Box MT SOFA 2.5 SEATER - 5PLY - 275LBS - 77.78""""X37""""X26"""" RSC  5PLY",,Corrugated Box,Packaging,Product Utilities
Corrugated Box MUIRFIELD CHAIR BOX IN BOX 39.5X33X31.5 7PLY,UNMPL/SKU/25-26/1961,Corrugated Box,Packaging,Product Utilities
"Corrugated Box NAYOMI 2 SEATER CHAIR -1-5 PLY - 62""""X33""""X34"""" RSC",UNMPL/SKU/25-26/286,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA BED P1 76X6.5X52 -5PLY (C&M),UNMPL/SKU/25-26/984,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA BED P2 75.5X6.5X20 (C&M) 5 PLY,UNMPL/SKU/25-26/986,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA BED P3 DUMMY 83X9.75X7 3PLY (C&M),UNMPL/SKU/25-26/989,Corrugated Box,Packaging,Product Utilities
Corrugated Box NYRA BED P3 OUTER 84X12.75X17 (C&M)- 5PLY,UNMPL/SKU/25-26/985,Corrugated Box,Packaging,Product Utilities
"Corrugated Box PETRIGNA Chair Outer- 31.5""""X30""""X40.5""""- 275 LBS 5 PLY",UNMPL/SKU/25-26/389,Corrugated Box,Packaging,Product Utilities
Corrugated Box POST BED P2 77.5X6X89 5PLY,UNMPL/SKU/25-26/894,Corrugated Box,Packaging,Product Utilities
Corrugated Box POST KING BED P1 77.5X6X70.5 5PLY,UNMPL/SKU/25-26/892,Corrugated Box,Packaging,Product Utilities
Corrugated Box POST KING BED P3 83X6X10 5PLY,UNMPL/SKU/25-26/896,Corrugated Box,Packaging,Product Utilities
"Corrugated Box PRESTON CHAIR LARGE - 37.5""""X28""""X37.5""""",UNMPL/SKU/25-26/1334,Corrugated Box,Packaging,Product Utilities
"Corrugated Box PRESTON CHAIR SMALL 37.5""""X28""""X29.5""""",UNMPL/SKU/25-26/1336,Corrugated Box,Packaging,Product Utilities
"Corrugated Box RONSEN CHAIR 33""""X32.5""""X33 RSC  5PLY",,Corrugated Box,Packaging,Product Utilities
"Corrugated Box SABITO ARM CHAIR 36.75""""X31""""X34.5"""" - 5Ply",UNM/SKU/24-25/1667,Corrugated Box,Packaging,Product Utilities
Corrugated Box SABITO CHAIR OUTER 36X30X34 5 PLY,UNMPL/SKU/25-26/1008,Corrugated Box,Packaging,Product Utilities
Corrugated Box SAMPLE FOR JOSHUA ACCENT CHAIR 30X24X10,UNMPL/SKU/25-26/1866,Corrugated Box,Packaging,Product Utilities
Corrugated Box SEIGE 3 SEATER SOFA 91X36.5X23,UNMPL/SKU/25-26/308,Corrugated Box,Packaging,Product Utilities
"Corrugated Box SERGE OTTOMAN - 23""""X23""""X19"""" 5 - PLY",UNMPL/SKU/25-26/1338,Corrugated Box,Packaging,Product Utilities
"Corrugated Box SF04DV Dove Sofa 96""""X30""""X25"""" - 7 PLY",UNMPL/SKU/25-26/827,Corrugated Box,Packaging,Product Utilities
"Corrugated Box SPELLO 2 SEATER 81""""X36""""X27"""" - 7 PLY",UNMPL/SKU/25-26/829,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Stonehenge King Bed MASTER BOX P1 - 78""""X6""""X67"""" - 5 PLY",UNMPL/SKU/25-26/1047,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Stonehenge King Bed P2- 78""""X6""""X22"""" - 5 PLY",UNMPL/SKU/25-26/1049,Corrugated Box,Packaging,Product Utilities
"Corrugated Box Stonehenge King Bed P3- 82""""X12""""X15"""" - 5 PLY",UNMPL/SKU/25-26/1051,Corrugated Box,Packaging,Product Utilities
"Corrugated Box TV CONSOLE 5 PLY - 63""""X21""""X23"""" RSC",UNMPL/SKU/25-26/287,Corrugated Box,Packaging,Product Utilities
"Corrugated Box UD379 SPPL WAL KIRSTY CHAIR 5 ply (Outer) 28.5"""" x 23.5"""" x 42.5"""" RSC",UNM/SKU/24-25/635,Corrugated Box,Packaging,Product Utilities
Corrugated Box ZION BED P1 66X6X53 P1 5PLY 275 LBS,UNMPL/SKU/25-26/2117,Corrugated Box,Packaging,Product Utilities
Corrugated Box ZION BED P2 66X6X21 5PLY 275 LBS,UNMPL/SKU/25-26/2118,Corrugated Box,Packaging,Product Utilities
Corrugated Box ZION BED P3 84.5X12X15 5PLY 275 LBS,UNMPL/SKU/25-26/2119,Corrugated Box,Packaging,Product Utilities
Corrugated Box Safi Chair outer- 30.5X28.5X33,UNM/SKU/23-24/572,Corrugated Box,Packaging,Product Utilities
Corrugated Box LUCID BED P2 5 PLY - 89X7X19 RSC,UNM/SKU/24-25/738,Corrugated Box,Packaging,Product Utilities
